SITE,NH3-N,NO3&NO2,PO43-,W/D,COND, DO,TURB,TEMP,PH,<2mm,CANOPY,Med.Flow,Mean.Flow,Drain(sqkm),Avg.Temp,AvgPPT,Forest,A. sayanus,B. havanensis,C. cyanoguttatum,C. lutrensis,C. shufeldtii,C. variegatus,E. gracile,F. notatus,G. affinis,G. geiseri,G. nobilis,L. auritis,L. cyanellus,L. gulosus,L. humilis,L. macrochirus,L. marginatus,L. megalotis,L. microlophus,M. carcinus,M. gulosus,M. ohione,N/A,P. formosa,P. kadiakensis,P. modestus,P. paludosus,P. vigilax,P. vulgaris,S. atromaculatus,T. maculatus,(blank),Grand Total
AR,0.105,0.6375,4.1275,13.5900817,929.5,82.8,66.35076691,19.05,7.0775,21.25,24.16666667,4.8,34.54522496,76.8,21.54733333,68.5326087,3.58,0,0,1,27,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,44
BBW,0.1325,0.02,0.1675,12.01073232,227.125,84.625,67.45529273,17,6.7625,97.5,18.41666667,na,na,na,na,na,na,1,0,0,0,0,0,0,3,0,0,1,0,0,3,0,6,0,0,4,0,0,0,2,0,0,0,0,0,1,5,0,0,26
BC,0.1175,2.9,1.6675,23.149871,219.25,79.7,99.08366992,15.875,6.9625,51.25,0,2.4,38.96549959,80.2,20.66816667,99.4926087,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,22,0,0,0,0,14,0,0,0,0,42
CC,0.1825,5.425,0.673333333,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,29
GC,0.0975,0.0475,0.4075,18.16067073,517.75,64.7,66.90867316,22.575,7.135,78.75,32.25,2.8,53.84037642,970.4,21.209,84.25101449,17.53,0,0,0,0,0,0,0,0,0,0,31,0,0,0,16,0,0,0,2,0,0,0,2,0,0,0,0,0,44,0,0,0,95
MC,0.1125,0.0075,0.405,21.02736928,852.25,45.7,68.797967,19.025,6.895,81.25,5.75,0.16,3.682921585,14.1,21.39533333,66.87014493,1.44,0,30,0,0,0,0,0,0,0,0,11,0,0,1,11,1,0,0,0,0,0,0,27,0,24,0,0,0,0,0,0,0,105
MR,0.17,0.04,0.315,14.7008547,1291,62.45,68.61325881,23.6,7.215,72.5,26.83333333,16,143.905291,51.8,21.51616667,72.85028986,8.43,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,10,0,0,0,10,0,0,0,0,0,0,26
OSO,0.1925,0.6125,3.1775,16.70120385,6986.5,79.4,85.24474424,26.125,7.1675,86.25,15.75,2.2,30.66551575,11.3,22.188,68.92246377,0.2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
PBW,0.16,0.9825,2.2125,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,24
PDC,0.075,0.0225,0.2975,15.1516695,736.75,77.65,66.19850575,18.875,7.1825,57.5,0.333333333,0.23,4.031984444,337.3,21.5275,78.72898551,34.85,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10
PLC,0.0875,0.44,0.2975,13.37957597,1135.5,103.65,70.65977391,24.625,7.3125,72.5,11.66666667,na,na,na,na,na,na,0,0,0,67,0,0,0,0,0,6,0,0,2,0,2,2,0,0,4,23,2,0,7,0,17,0,8,3,0,0,1,0,144
SFC,0.2975,1.8,4.275,18.32886193,979,68.5,67.17249949,23.275,6.4275,66.25,na,1.7,14.47208952,192.7,22.2145,56.67231884,1.48,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,43
TRC,0.1525,0.07,0.125,24.11309524,na,120.225,66.1316914,22.525,7.9875,57.5,21.58333333,na,na,na,na,na,na,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,13
