SITE,NH3-N,NO3&NO2,PO43-,W/D,COND, DO,TURB,TEMP,PH,<2mm,CANOPY,Med.Flow,Mean.Flow,Drain(sqkm),Avg.Temp,AvgPPT,Forest,Shannon Index,Log.NH3,Log.NO3,Log.PO4,Log.PPT,Log.MeanFlow,Log.DrainageArea
AR,0.105,0.6375,4.1275,13.5900817,929.5,82.8,66.35076691,19.05,7.0775,21.25,24.16666667,4.8,34.54522496,76.8,21.54733333,68.5326087,3.58,1.3030161,-0.978810701,-0.195519811,0.615687082,1.835897264,1.538388025,1.88536122
BBW,0.1325,0.02,0.1675,12.01073232,227.125,84.625,67.45529273,17,6.7625,97.5,18.41666667,NA,NA,NA,NA,NA,NA,2.0149853,-0.877784122,-1.698970004,-0.775985189,NA,NA,NA
BC,0.1175,2.9,1.6675,23.149871,219.25,79.7,99.08366992,15.875,6.9625,51.25,0,2.4,38.96549959,80.2,20.66816667,99.4926087,2.57,1.1068383,-0.929962133,0.462397998,0.222065843,1.997790818,1.590680249,1.904174368
CC,0.1825,5.425,0.673333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8905397,-0.738737131,0.734399743,-0.171769885,NA,NA,NA
GC,0.0975,0.0475,0.4075,18.16067073,517.75,64.7,66.90867316,22.575,7.135,78.75,32.25,2.8,53.84037642,970.4,21.209,84.25101449,17.53,1.1844879,-1.010995384,-1.32330639,-0.389872387,1.925575139,1.731108088,2.986950788
MC,0.1125,0.0075,0.405,21.02736928,852.25,45.7,68.797967,19.025,6.895,81.25,5.75,0.16,3.682921585,14.1,21.39533333,66.87014493,1.44,1.6058603,-0.948847478,-2.124938737,-0.392544977,1.825232264,0.566192472,1.149219113
MR,0.17,0.04,0.315,14.7008547,1291,62.45,68.61325881,23.6,7.215,72.5,26.83333333,16,143.905291,51.8,21.51616667,72.85028986,8.43,1.4868772,-0.769551079,-1.397940009,-0.501689446,1.862431284,2.158076762,1.71432976
OSO,0.1925,0.6125,3.1775,16.70120385,6986.5,79.4,85.24474424,26.125,7.1675,86.25,15.75,2.2,30.66551575,11.3,22.188,68.92246377,0.2,0.3767702,-0.715569266,-0.212893907,0.502085559,1.838360794,1.486650273,1.053078443
PBW,0.16,0.9825,2.2125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1082154,-0.795880017,-0.007667441,0.344883279,NA,NA,NA
PDC,0.075,0.0225,0.2975,15.1516695,736.75,77.65,66.19850575,18.875,7.1825,57.5,0.333333333,0.23,4.031984444,337.3,21.5275,78.72898551,34.85,1.6434177,-1.124938737,-1.647817482,-0.52651303,1.896134655,0.605518848,2.528016341
PLC,0.0875,0.44,0.2975,13.37957597,1135.5,103.65,70.65977391,24.625,7.3125,72.5,11.66666667,NA,NA,NA,NA,NA,NA,1.7935004,-1.057991947,-0.356547324,-0.52651303,NA,NA,NA
SFC,0.2975,1.8,4.275,18.32886193,979,68.5,67.17249949,23.275,6.4275,66.25,NA,1.7,14.47208952,192.7,22.2145,56.67231884,1.48,0.1881129,-0.52651303,0.255272505,0.630936119,1.753370983,1.16053124,2.284881715
TRC,0.1525,0.07,0.125,24.11309524,NA,120.225,66.1316914,22.525,7.9875,57.5,21.58333333,NA,NA,NA,NA,NA,NA,1.072017,-0.816730156,-1.15490196,-0.903089987,NA,NA,NA
