Site.Name,STAID,,AP,RH,Bas.dev,Bas.forest,Bas.plant,Soil.Perm,Soil.Org,Rip.forest,log.cond,DO,turbidity,Twater,pH,bank.height,Rosgen.Index,canopy,d50,NH4.,PO4.,log.no3,flash.index,HFPP,LFPP,Av.Flow,DRAIN_SQKM
Bear Branch,8068390,,124.19,71.4,76.71,9.98,0.82,3.75,0.48,14.33,5.425500527,8.173,67.455,17,6.763,0.893,12.011,44.144,2,0.133,0.168,-3.912023005,0.777,0.25,13.146,25.875,40.2
Big Creek,8115000,,120.31,71.6,10.88,2.57,77.35,0.65,2.55,9.06,5.390212631,7.881,99.084,15.875,6.963,0.361,23.15,0,2,0.118,1.668,1.064710737,0.961,0.24,15.631,43.538,116.7
Garcitas,8164600,,102.41,74.2,4.28,17.53,50.34,1.75,0.75,19.86,6.2494925,5.587,66.909,22.575,7.135,0.339,18.161,73.649,2,0.098,0.408,-3.036554268,0.806,0.285,4.867,43.985,253.9
Placedo,8164800,,104.65,75,11.81,2.57,78.16,0.5,0.9,5.28,7.034828362,8.596,70.66,24.625,7.313,0.438,13.38,29.279,25,0.088,0.298,-0.820980552,0.921,0.256,5.482,44.717,172.2
Perdido,8177300,,92.37,72.1,2.45,34.85,27.41,1.17,0.94,32.9,6.602248622,7.203,66.199,18.875,7.183,0.288,15.152,0.901,2,0.075,0.298,-3.772261063,1.339,0.286,0,5.413,72.2
Medio,8189300,,79.13,72,5.24,1.44,40.31,1.16,0.95,2.27,6.747879911,4.206,68.798,19.025,6.895,0.691,18.405,14.414,2,0.113,0.405,-4.828313737,0.993,0.43,0,3.119,527.3
Mission,8189500,,85.36,73.4,3.72,8.43,35.06,1.1,0.82,11.05,7.163172391,5.277,68.613,23.6,7.215,0.46,14.701,68.468,2,0.17,0.315,-3.218875825,0.58,0.208,3.357,115.13,1808.3
Aransas,8189700,,80.77,74.1,8.28,3.58,52.39,0.96,0.8,7.41,6.834646807,7.649,66.351,19.05,7.078,0.54,11.781,58.559,32,0.105,4.128,-0.449416996,1.053,0.112,7.664,35.038,631.3
San Fernando,8211900,,67.75,69.6,4.74,1.48,28.01,1.36,0.91,3.92,6.886531643,5.829,67.172,23.275,6.428,0.591,15.762,89.865,2,0.298,4.275,0.587786665,0.907,0.173,20.306,13.834,1303.7
Tranquitas,8212300,,67.75,69.6,4.74,1.48,28.01,1.36,0.91,3.92,9.096387492,9.971,66.132,22.525,7.988,0.75,17.988,68.769,2,0.153,0.125,-2.659260037,0.781,0.313,24.06,1.763,125.6
