USGS.gauge,conductivity,dissolved.oxygen,turbidity.adjusted,temperature.water,pH,depth.bank.right,height.bank.right,depth.mid,depth.bank.left,height.bank.left,bank,depth.max,width.wetted,width.depth,canopy.left,canopy.mid,canopy.right,Cpy,D50,NH3-N,PO43-,NO3-NO2,NO3--N(LR)
 8189700,929.5,7.648636411,66.35076691,19.05,7.0775,0.075,0.925,0.26625,0.2575,0.8225,0.54,0.41,3.475,11.78055789,70.27027027,63.51351351,41.89189189,58.55855856,32,0.105,4.1275,0.825,0.6375
8068390 ,227.125,8.172508135,67.45529273,17,6.7625,0.058125,1.75,0.32,0.03625,1.75,0.893125,0.45,3.3625,12.01073232,35.81081081,43.91891892,52.7027027,44.14414414,2,0.1325,0.1675,0.425,0.02
8115000,219.25,7.881373644,99.08366992,15.875,6.9625,0.1025,0.6875,0.525,0.1125,0.61,0.36125,0.79,8.875,23.149871,0,0,0,0,2,0.1175,1.6675,2.9,NA
8164600,517.75,5.586604558,66.90867316,22.575,7.135,0.17,0.6125,0.375,0.0275,0.65,0.33875,0.44,6.8,18.16067073,78.37837838,70.27027027,72.2972973,73.64864865,2,0.0975,0.4075,0.325,0.0475
8189300,852.25,4.205500207,68.797967,19.025,6.895,0.05375,0.8125,0.34875,0.5325,0.85,0.69125,2,5.725,18.40514706,19.59459459,5.405405405,18.24324324,14.41441441,2,0.1125,0.405,-0.75,0.0075
8189500,1291,5.276607336,68.61325881,23.6,7.215,0.0575,0.5875,0.63,0.12,0.8,0.46,0.78,7.716666667,14.7008547,81.98198198,58.55855856,64.86486486,68.46846847,2,0.17,0.315,-0.4,0.04
8211520,6986.5,6.293440618,85.24474424,26.125,7.1675,0.0525,0.78,0.3275,0.07625,1.5,0.788125,0.89,2.9375,16.09852528,50.45045045,43.24324324,49.54954955,47.74774775,25,0.1925,3.1775,7.925,0.6125
8177300,736.75,7.203490725,66.19850575,18.875,7.1825,0.005,0.17,0.28625,0.025,0.55,0.2875,0.465,3.755,15.1516695,0.675675676,0.675675676,1.351351351,0.900900901,2,0.075,0.2975,-1.1025,0.0225
8164800,1135.5,8.596173417,70.65977391,24.625,7.3125,0.065,2.25,0.3325,0.05,0.825,0.4375,0.45,3.725,13.37957597,25,31.08108108,31.75675676,29.27927928,25,0.0875,0.2975,-0.525,0.44
8211900,979,5.828653376,67.17249949,23.275,6.4275,0.0575,0.87,0.1925,0.1625,1.02,0.59125,0.65,2.7925,15.76185949,92.56756757,90.54054054,86.48648649,89.86486486,2,0.2975,4.275,1.8,NA
8212300,8923,9.971382913,66.1316914,22.525,7.9875,0,1.175,0.2025,0.1,1.4,0.75,0.42,4.0375,17.98809524,72.07207207,64.86486486,69.36936937,68.76876877,2,0.1525,0.125,-0.75,0.07
8189200,221.225,7.378696526,90.92240996,16.575,6.5825,0.03,0.3325,0.46125,0.0425,0.8,0.42125,0.77,4.425,10.72958742,70.27027027,61.26126126,74.77477477,68.76876877,25,0.1825,0.673333333,5.425,NA
8068450,287,8.025339017,67.63975333,17.725,6.59,0.1125,1,0.7125,0.055,1.0125,0.53375,0.94,5.925,8.629852852,0,0,0,0,2,0.16,2.2125,1.425,0.9825
