site,USGS.gauge,flsh,maxDD30,minDD30,HFPP7,HFPP3,FrLFsp,LFPP,varDF,medAnnMaxFl,BFI,MeanFlow,MedianFlow
TRC,08212300,0.780885178,NA,NA,0.206171108,0.312762973,0,24.06030856,2.568794391,NA,0,1.76302244,0.25
SFC,08211900,0.906775074,129.7021538,0.761512821,0.087509579,0.173333333,5.42605364,20.30574713,12.73365341,1026.923077,0.001549016,13.8336705,1.3
OSO,08211520,0.782831758,122.8025943,0.548066038,0.123218391,0.199693487,1.734099617,9.901149425,6.304804846,896.2264151,0.008357719,32.47639387,2.12
AR,08189700,1.053090549,63.02488636,0.761161616,0.067126437,0.112030651,1.901915709,7.663601533,12.1051312,413.8257576,0.016023258,35.03835249,5.28
MC,08189300,0.993328019,605.8683333,4.443333333,0.351570881,0.429578544,0,0,9.957608218,6012.5,0,3.118663602,0.04
PDC,08177300,1.338792855,519.584,0.698666667,0.127375843,0.286174126,0,0,14.79633182,2565,0,5.412818823,0.1
CC,08189200,0.310279958,NA,NA,0.377740304,0.377740304,0,0,4.204607613,NA,0,42.38003833,0
MR,08189500,0.580291613,72.64714286,0.688002801,0.10928878,0.207694666,0.33568363,3.356836297,5.080361465,495.3781513,0,115.1299571,11.9
GC,08164600,0.8057834,150.1217333,0.501016667,0.171494253,0.284597701,0,4.866666667,6.070869772,665.75,0,43.98452107,2
PLC,08164800,0.921217322,220.2393817,0.556021505,0.172720307,0.255632184,0,5.481992337,5.791782835,1383.064516,0,44.7173977,1.24
BC,08115000,0.960737284,72.19787559,0.462312207,0.156408289,0.240214889,6.554873369,15.63085188,5.363991914,681.3380282,0.003839053,43.53752264,2.84
BB,08068390,0.776944397,23.94582728,0.195617433,0.147126437,0.249808429,3.300383142,13.14559387,4.248770569,104.4794189,0,25.87501149,4.13
PB,08068450,0.651386186,11.05420541,0.609192793,0.089849739,0.198558724,5.316620669,16.11775529,4.061205075,60.67567568,0.062601144,61.66021466,18.5
