STAID,shannon,rich,rare.rich,ALISOTRICHIA,AMELETUS,AMETROPUS,AMNICOLA,AMPHIAGRION,ANCYRONYX,ARGIA,BAETIS,BAETODES,BELOSTOMA,BEROSUS,BIOMPHALARIA,BITHYNIA,BRACHYCERUS,BRECHMORHOGA,CAECIDOTEA,CAENIS,CALOPTERYX,CAMELOBAETIDIUS,CAMPELOMA,CENTROPTILUM,CERCOBRACHYS,CHEUMATOPSYCHE,CHROMAGRION,CLOEON,CORBICULA,CYPHON,DUBIRAPHIA,ELODES,ERPETOGOMPHUS,ERYTHEMIS,FALLCEON,FARRODES,FERRISSIA,FOSSARIA,GAMMARUS,GLAENOCORISA,GYRAULUS,GYRETES,HEBRUS,HELICINA,HELISOMA,HETAERINA,HETERELMIS,HYALELLA,HYDRAENA,HYDROBIUS,HYDROPSYCHE,ISONYCHIIDAE,LEPTOCERIDAE,LEPTOHYPHES,LEPTONEMA,LIMNOCORIS,LIMNOPORUS,LINISA,LIPOGOMPHUS,MACRELMIS,MACRONYCHUS,MELANOIDES,MENETUS,MESOVELIA,METRICHIA,MICROVELIA,MORPHOCORIXA,NEOELMIS,NEONEURA,NEOPLEA,ORCONECTES,PALAEMONETES,PELOCORIS,PELTODYTES,PHILOPOTAMIDAE,PHYSA,PHYSELLA,PISIDIUM,PLANORBULA,PLAUDITUS,POTAMYIA,PROCLOEON,PSEUDOCLOEON,PSEUDOSUCCINEA,RANATRA,RHAGOVELIA,RHEUMATOBATES,SCIRTES,SIPHLONURUS,SMICRIDEA,SPHAERIDIINAE,STACTOBIELLA,STENELMIS,STENONEMA,STROBILOPS,SYNAPTONECTA,TREPOBATES,VALVATA
8068390,2.553237003,14,14,1158,1158,0,0,0,0,0,0,1158,0,0,0,1158,0,0,0,1158,0,0,0,0,1158,2316,0,0,3474,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,0,1158,0,0,0,0,0,1158,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8177300,3.184634504,26,26,0,314,0,0,628,0,314,314,0,0,0,0,0,628,0,0,0,0,0,0,0,314,314,0,0,628,0,0,0,0,0,628,314,0,0,0,0,0,0,0,0,628,0,0,628,314,0,0,0,0,314,0,0,942,0,0,0,0,628,0,0,314,314,0,0,0,314,0,314,0,0,0,628,314,0,0,314,0,0,314,0,0,0,0,0,0,0,0,0,0,0,314,0,628,0
8189700,3.297679902,29,29,0,3226,0,0,0,0,3226,3226,0,0,0,0,1613,0,1613,0,0,0,3226,0,0,3226,4839,0,0,1613,0,1613,0,3226,0,0,1613,1613,0,1613,0,0,0,0,1613,0,0,0,1613,0,0,1613,3226,3226,0,0,0,0,0,1613,1613,0,3226,0,0,0,0,0,0,0,1613,0,1613,0,0,3226,0,1613,0,0,0,0,0,0,0,0,3226,1613,0,0,0,0,0,3226,0,0,0,0,0
8212300,1.831020481,7,7,0,0,0,3328,0,0,0,0,0,0,0,3328,3328,0,0,0,0,0,0,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8164600,2.648438335,15,15,0,0,0,182,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,182,91,91,91,0,0,91,0,91,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,91,182,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,182,0,0,0,0
8211900,2.830713404,18,18,0,0,0,756,0,0,1512,0,0,0,0,0,0,0,756,1512,0,0,0,0,0,0,1512,0,0,756,0,0,0,1512,0,0,0,0,0,756,0,0,0,756,0,0,0,0,756,0,0,0,0,0,0,756,0,0,0,0,0,0,1512,0,0,0,0,0,0,756,0,756,756,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,0,0,756,0,0,0,1512,0,0,0,0,0
8164800,2.397895273,11,11,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,392,0,0,0,392,392,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,392,392,0,0,0,0,0
8189300,2.813355405,17,17,0,0,0,0,867,0,867,0,0,0,0,867,867,0,0,0,867,0,0,0,867,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,867,867,867,0,0,0,0,0,0,0,0,0,0,0,867,0,867,0,0,0,0,0,0,0,867,0,1734,0,867,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,867
8189500,3.282693997,27,27,0,0,0,0,0,381,381,0,0,0,0,0,0,0,0,0,381,381,0,0,0,0,0,381,0,0,381,381,0,0,0,0,381,381,381,0,0,0,381,0,0,0,0,381,381,0,0,0,0,762,381,0,381,0,381,0,0,0,381,0,0,0,0,0,0,0,0,0,381,381,381,0,381,0,0,0,381,0,381,0,0,0,0,0,381,0,0,0,0,381,0,0,0,381,0
8115000,2.426015132,12,12,0,0,0,0,0,0,0,0,0,325,0,0,325,325,0,0,650,0,0,0,0,0,325,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,325,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0
